============================================================================================
Box Size: 2.25 X 1 X 0.8 M
Kinect Position: 0.6, 0.35, 0.35
Experiment Time: 10/07/2013 3:52:42 PM and Ticks:635167579620106840
============================================================================================
EVENTTYPE | EVENT# | HANDTYPE | X | Y | Z | TIME | STOPWATCH(ms) | SKELETON ID
SKT | OUT | -0.4088081 | 0.06235414 | 3.058409 | 3:53:16PM | 34183 | 109
SKT | OUT | -0.3895662 | 0.0631035 | 3.053196 | 3:53:16PM | 34209 | 109
SKT | OUT | -0.3701601 | 0.05502212 | 3.046008 | 3:53:16PM | 34246 | 109
SKT | OUT | -0.3479209 | 0.05493728 | 3.043627 | 3:53:16PM | 34277 | 109
SKT | OUT | -0.3249085 | 0.04679838 | 3.036297 | 3:53:16PM | 34312 | 109
SKT | OUT | -0.3016918 | 0.04165277 | 3.029123 | 3:53:16PM | 34344 | 109
SKT | OUT | -0.282984 | 0.02814645 | 3.016744 | 3:53:16PM | 34379 | 109
SKT | OUT | -0.2634275 | 0.02489065 | 3.000621 | 3:53:16PM | 34413 | 109
SKT | OUT | -0.2340241 | 0.01258507 | 2.982831 | 3:53:16PM | 34446 | 109
SKT | OUT | -0.2208345 | 0.007587633 | 2.963652 | 3:53:16PM | 34476 | 109
SKT | OUT | -0.1922365 | 0.02187238 | 2.946419 | 3:53:16PM | 34514 | 109
SKT | OUT | -0.1693008 | 0.02004212 | 2.926665 | 3:53:16PM | 34545 | 109
SKT | OUT | -0.1512613 | 0.01027111 | 2.904491 | 3:53:16PM | 34580 | 109
SKT | OUT | -0.1310351 | 0.01198239 | 2.887293 | 3:53:16PM | 34614 | 109
SKT | OUT | -0.1037088 | 0.00580885 | 2.870368 | 3:53:16PM | 34645 | 109
SKT | OUT | -0.08703832 | 0.01239882 | 2.850954 | 3:53:16PM | 34677 | 109
SKT | OUT | -0.06583326 | 0.008285337 | 2.832748 | 3:53:16PM | 34714 | 109
