============================================================================================
Box Size: 2.25 X 1 X 0.8 M
Kinect Position: 0.6, 0.35, 0.35
Experiment Time: 10/14/2013 3:27:24 PM and Ticks:635173612443672432
============================================================================================
EVENTTYPE | EVENT# | HANDTYPE | X | Y | Z | TIME | STOPWATCH(ms) | SKELETON ID
SKT | OUT | -1.418122 | -1.043086 | 3.032123 | 3:27:45PM | 20672 | 2
SKT | OUT | -1.406702 | -1.044053 | 3.024767 | 3:27:45PM | 20705 | 2
SKT | OUT | -1.348608 | -1.04786 | 2.958345 | 3:27:45PM | 20736 | 2
SKT | OUT | -1.068844 | 0.2128743 | 3.028795 | 3:28:18PM | 54323 | 194
SKT | OUT | -1.06862 | 0.2106808 | 3.034785 | 3:28:18PM | 54353 | 194
SKT | OUT | -1.065832 | 0.2153678 | 3.039171 | 3:28:18PM | 54441 | 194
SKT | OUT | -1.057768 | 0.2345969 | 3.041881 | 3:28:18PM | 54446 | 194
SKT | OUT | -1.060118 | 0.2319922 | 3.04625 | 3:28:18PM | 54456 | 194
SKT | OUT | -1.060489 | 0.2328368 | 3.045727 | 3:28:18PM | 54491 | 194
SKT | OUT | -1.054097 | 0.2430653 | 3.052019 | 3:28:18PM | 54523 | 194
SKT | OUT | -1.06435 | 0.232603 | 3.052278 | 3:28:18PM | 54555 | 194
SKT | OUT | -1.06088 | 0.2468108 | 3.054865 | 3:28:18PM | 54591 | 194
SKT | OUT | -1.059853 | 0.252837 | 3.055354 | 3:28:18PM | 54623 | 194
SKT | OUT | -1.051078 | 0.3388047 | 3.075936 | 3:28:19PM | 54655 | 194
SKT | OUT | -1.052447 | 0.3472272 | 3.077043 | 3:28:19PM | 54691 | 194
SKT | OUT | -1.056918 | 0.3512739 | 3.072013 | 3:28:19PM | 54723 | 194
SKT | OUT | -1.058297 | 0.3487022 | 3.070673 | 3:28:19PM | 54755 | 194
SKT | OUT | -1.062854 | 0.345993 | 3.067522 | 3:28:19PM | 54792 | 194
SKT | OUT | -1.071275 | 0.3464842 | 3.062087 | 3:28:19PM | 54823 | 194
SKT | OUT | -1.071628 | 0.3481833 | 3.058481 | 3:28:19PM | 54855 | 194
SKT | OUT | -1.072016 | 0.3573666 | 3.056819 | 3:28:19PM | 54891 | 194
SKT | OUT | -1.080796 | 0.341655 | 3.050388 | 3:28:19PM | 54923 | 194
